"Session:Name","Record #","Speaker:Name","Orthography","Segment","Notes","situation","GRASP","Morphology"
"Alex.010512","541","AD2","[I got the wake tonight (.)]","037:32.549-037:33.554","","","[]","[]"
"Alex.010512","542","AD2","[I'm pressed for time .]","037:33.684-037:34.656","","","[]","[]"
"Alex.010512","543","AD2","[I'll] [come] [get] [a] [tube] [of (.)] [silicone] [and] [I'll] [replace] [it] [okay ?]","037:34.656-037:37.453","","","[1|3|SUBJ 2|3|AUX] [3|4|SUBJ] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|6|NJCT] [8|7|POBJ] [9|4|CONJ] [10|12|SUBJ 11|12|AUX] [12|9|COORD] [13|14|SUBJ] [14|12|CMOD 15|4|PUNCT]","[pro:sub|I~mod|will] [v|come] [v|get] [det:art|a] [n|tube] [prep|of] [n|silicone] [coord|and] [pro:sub|I~mod|will] [re#v|place] [pro:per|it] [co|okay ?]"
"Alex.010512","544","Mother","[yep (replacement:replacement:yes) .]","037:37.414-037:37.725","","","[1|0|INCROOT 2|1|PUNCT]","[co|yes .]"
"Alex.010512","545","AD2","[hey] [look] [look] [hey .]","037:38.055-037:39.512","","","[1|4|COM] [2|4|COM] [3|4|COM] [4|0|ROOT 5|4|PUNCT]","[co|hey] [co|look] [co|look] [co|hey .]"
"Alex.010512","546","Mother","[okay] [xxx] [go] [get] [your] [silicone .]","037:41.436-037:42.700","","","[1|2|COM] [] [2|3|SRL] [3|0|ROOT] [4|5|MOD] [5|3|OBJ 6|3|PUNCT]","[co|okay] [] [v|go] [v|get] [det:poss|your] [n|silicone .]"
"Alex.010512","547","AD2","[okay .]","037:42.700-037:43.108","","","[1|0|INCROOT 2|1|PUNCT]","[co|okay .]"
"Alex.010512","548","AD2","[hey] [ya (replacement:replacement:you)] [can't] [come] [near] [that] [camera] [over] [there] [honey .]","037:43.302-037:45.700","last word could be you know what I mean","","[1|5|COM] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|5|JCT] [7|8|DET] [8|6|POBJ] [9|5|JCT] [10|5|JCT] [11|10|POBJ 12|5|PUNCT]","[co|hey] [pro:per|you] [mod|can~neg|not] [v|come] [prep|near] [pro:dem|that] [n|camera] [adv|over] [adv|there] [n|honey .]"
"Alex.010512","549","Mother","[you're] [right]","037:46.314-037:46.839","","","[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|8|SUBJ 5|8|JCT 6|8|SUBJ 7|8|JCT 8|2|PRED 9|8|NEG 10|2|PUNCT]","[pro:per|you~cop|be&PRES] [adj|right pro:sub|I adv|probable&dadj-LY pro:sub|I adv|probable&dadj-LY mod|should~neg|not .]"
"Alex.010512","550","Mother","[I probably (.)]","037:46.859-037:47.286","","","[]","[]"
"Alex.010512","551","Mother","[I probably shouldn't .]","037:47.311-037:48.257","","","[]","[]"
"Alex.010512","552","AD2","[hey] [how] [you] [doin (replacement:replacement:doing)] [by] [the] [way (.)]","037:46.819-037:47.655","","","[1|4|COM] [2|4|LINK] [3|4|SUBJ] [4|0|ROOT] [5|4|JCT] [6|8|DET] [7|8|MOD 8|9|SUBJ 9|5|POBJ 10|4|JCT 11|4|PUNCT]","[co|hey] [adv:int|how] [pro:per|you] [part|do-PRESP] [prep|by] [det:art|the] [n|way n|well v|come adv|here .]"
"Alex.010512","553","AD2","[well c'mere (replacement:replacement:come here) .]","037:47.694-037:48.219","","","[]","[]"
"Alex.010512","554","Camera Operator","[Manuela .]","037:48.343-037:49.112","","","[1|0|INCROOT 2|1|PUNCT]","[n:prop|Manuela .]"
"Alex.010512","555","AD2","[please ?]","037:49.190-037:49.812","","","[1|0|INCROOT 2|1|PUNCT]","[co|please ?]"
"Alex.010512","556","Camera Operator","[Manuela .]","037:49.851-037:50.473","","","[1|0|INCROOT 2|1|PUNCT]","[n:prop|Manuela .]"
"Alex.010512","557","AD2","[oh] [well] [you] [gotta] [do] [that] [again .]","037:50.566-037:52.086","","","[1|2|COM] [2|5|LINK] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|5|OBJ] [7|5|JCT 8|5|PUNCT]","[co|oh] [n|well] [pro:per|you] [mod:aux|gotta] [v|do] [pro:dem|that] [adv|again .]"
"Alex.010512","558","Camera Operator","[Manuela .]","037:51.678-037:52.319","","","[1|0|INCROOT 2|1|PUNCT]","[n:prop|Manuela .]"
"Alex.010512","559","AD2","[Manuela (.)]","037:52.143-037:52.921","","","[1|4|SUBJ 2|4|COM 3|4|SUBJ 4|0|ROOT 5|4|PRED 6|7|JCT 7|4|PRED 8|9|MOD 9|7|OBJ 10|9|POSS 11|4|PUNCT]","[n:prop|Manuela co|wow pro:dem|that~cop|be&3S adj|different adv|very adj|nice det:poss|my n|name~poss|s .]"
"Alex.010512","560","AD2","[wow that's different]","037:52.960-037:53.718","","","[]","[]"
"Alex.010512","561","AD2","[very nice]","037:53.719-037:54.185","","","[]","[]"
"Alex.010512","562","AD2","[my name's xxx .]","037:54.223-037:54.916","","","[]","[]"
"Alex.010512","563","Camera Operator","[xxx .]","037:54.916-038:00.501","","","[]","[]"
"Alex.010512","564","Mother","[he's] [a] [friend] [of] [the] [family .]","037:58.013-038:00.287","","","[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED] [5|4|NJCT] [6|7|DET] [7|5|POBJ 8|2|PUNCT]","[pro:sub|he~aux|be&3S] [det:art|a] [n|friend] [prep|of] [det:art|the] [n|family .]"
"Alex.010512","565","Mother","[he] [does] [a] [lot] [of] [work (.)] [too (.)] [around] [the] [house] [for] [us .]","038:00.501-038:04.048","","","[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|4|NJCT] [6|5|POBJ] [7|2|JCT] [8|2|JCT] [9|10|DET] [10|8|POBJ] [11|2|JCT] [12|11|POBJ 13|2|PUNCT]","[pro:sub|he] [v|do&3S] [det:art|a] [n|lot] [prep|of] [n|work] [adv|too] [prep|around] [det:art|the] [n|house] [prep|for] [pro:obj|us .]"
"Alex.010512","566","Mother","[yeah] [there's] [nothing] [he] [can't] [do .]","038:04.048-038:06.218","","","[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|3|PRED] [5|8|SUBJ] [6|8|AUX 7|6|NEG] [8|4|CMOD 9|3|PUNCT]","[co|yeah] [pro:exist|there~cop|be&3S] [pro:indef|nothing] [pro:sub|he] [mod|can~neg|not] [v|do .]"
"Alex.010512","567","Mother","[decorate] [cakes (t:t:trail off)]","038:06.218-038:07.613","","","[1|0|ROOT] [2|1|OBJ 3|1|PUNCT]","[v|decorate] [n|cake-PL (mt:trail off)]"
"Alex.010512","568","Mother","[to] [the] [biggest] [carpentry] [construction] [job .]","038:08.115-038:11.888","","","[1|0|INCROOT] [2|6|DET] [3|4|MOD] [4|6|MOD] [5|6|MOD] [6|1|POBJ 7|1|PUNCT]","[prep|to] [det:art|the] [adj|big-SP] [n|carpentry] [n|construction] [n|job .]"
"Alex.010512","569","Mother","[well] [here] [I'm] [sorry .]","038:12.483-038:13.728","","","[1|4|COM] [2|4|JCT] [3|4|SUBJ 4|0|ROOT] [5|4|PRED 6|4|PUNCT]","[co|well] [adv|here] [pro:sub|I~cop|be&1S] [adj|sorry .]"
"Alex.010512","570","Alex","[yyy] [yyy] [yyy] [yyy] [yyy] [yyy] [yyy] [yyy] [yyy .]","038:15.231-038:19.220","","","[]","[] [] [] [] [] [] [] [] []"
"Alex.010512","571","Mother","[that's] [uncle] [xxx] [and] [he] [does] [everything .]","038:15.892-038:18.457","","","[1|2|SUBJ 2|0|ROOT] [3|2|PRED] [] [4|6|LINK] [5|6|SUBJ] [6|2|CJCT] [7|6|OBJ 8|2|PUNCT]","[pro:dem|that~cop|be&3S] [n|uncle] [] [coord|and] [pro:sub|he] [v|do&3S] [pro:indef|everything .]"
"Alex.010512","572","Mother","[he] [cooks .]","038:19.083-038:19.701","","","[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT]","[pro:sub|he] [v|cook-3S .]"
"Alex.010512","573","Mother","[he (.)] [he's] [a] [artist .]","038:21.702-038:23.150","","","[1|5|LINK] [2|5|SUBJ 3|5|AUX] [4|5|DET] [5|0|INCROOT 6|5|PUNCT]","[pro:sub|he] [pro:sub|he~aux|be&3S] [det:art|a] [n|artist .]"
"Alex.010512","574","Mother","[he] [draw] [absolutely] [beautiful .]","038:23.150-038:25.045","","","[1|2|SUBJ] [2|0|ROOT] [3|4|JCT] [4|2|JCT 5|2|PUNCT]","[pro:sub|he] [v|draw] [adv|absolute&dadj-LY] [adj|beautiful .]"
"Alex.010512","575","Alex","[yyy] [yyy] [yyy] [yyy .]","038:25.045-038:26.580","","","[]","[] [] [] []"
"Alex.010512","576","AD2","[I] [think] [I] [know] [more] [of] [the] [stuff (t:t:self interruption)]","038:26.425-038:29.145","","","[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|4|OBJ] [6|5|NJCT] [7|8|DET] [8|6|POBJ 9|2|PUNCT]","[pro:sub|I] [v|think] [pro:sub|I] [v|know] [qn|more] [prep|of] [det:art|the] [n|stuff (mt:self interruption)]"
"Alex.010512","577","Alex","[yyy .]","038:29.145-038:30.758","","seems to be responding to VIS coming back","[]","[]"
"Alex.010512","578","AD2","[your] [mother] [knows .]","038:29.612-038:30.467","","","[1|2|MOD] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT]","[det:poss|your] [n|mother] [v|know-3S .]"
"Alex.010512","579","Mother","[probably .]","038:30.467-038:32.467","","","[1|0|INCROOT 2|1|PUNCT]","[adv|probable&dadj-LY .]"
"Alex.010512","580","AD2","[what] [buddy .]","038:30.922-038:32.922","","","[1|2|MOD] [2|0|INCROOT 3|2|PUNCT]","[pro:int|what] [n|buddy .]"
"Alex.010512","581","Alex","[yyy .]","038:31.471-038:34.650","","","[]","[]"
"Alex.010512","582","AD2","[heehaw (.)] [what] [what .]","038:34.027-038:34.625","","imitating CHI","[1|0|INCROOT] [2|1|PUNCT] [3|2|INCROOT 4|3|PUNCT]","[on|+on|hee+on|haw] [det:int|what] [pro:int|what .]"
"Alex.010512","583","AD2","[what]","038:34.651-038:35.228","","","[1|5|LINK 2|5|SUBJ 3|5|AUX 4|5|JCT 5|0|ROOT 6|5|PUNCT]","[det:int|what pro:sub|I~aux|be&1S adv|all adj|dirt&dn-Y .]"
"Alex.010512","584","AD2","[I'm all dirty .]","038:35.228-038:36.005","","","[]","[]"
"Alex.010512","585","AD2","[alright] [alright .]","038:36.044-038:37.353","","","[1|2|COM] [2|0|INCROOT 3|2|PUNCT]","[co|alright] [co|alright .]"
"Alex.010512","586","AD2","[go] [get] [the] [bucket .]","038:39.697-038:40.743","","","[1|2|SRL] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT]","[v|go] [v|get] [det:art|the] [n|bucket .]"
"Alex.010512","587","AD2","[where's] [the] [bucket ?]","038:40.743-038:41.893","","","[1|2|LINK 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT]","[adv:int|where~cop|be&3S] [det:art|the] [n|bucket ?]"
"Alex.010512","588","Mother","[I] [can't (.)]","038:41.376-038:41.680","","","[1|4|SUBJ] [2|4|AUX 3|2|NEG 4|7|SUBJ 5|7|AUX 6|5|NEG 7|8|SUBJ 8|0|ROOT 9|8|OBJ 10|8|JCT 11|12|DET 12|10|POBJ 13|8|PUNCT]","[pro:sub|I] [mod|can~neg|not pro:sub|I mod|do~neg|not v|know v|put&ZERO pro:per|it prep|in det:art|the n|garage .]"
"Alex.010512","589","Mother","[I don't know xxx]","038:41.753-038:42.224","","","[]","[]"
"Alex.010512","590","Mother","[put it in the garage .]","038:42.262-038:42.982","","","[]","[]"
"Alex.010512","591","Mother","[I can't find it.]","038:42.982-038:43.759","","","[]","[]"
"Alex.010512","592","AD2","[ah] [ya (replacement:replacement:you)] [can't] [find] [the] [bucket] [on (.)]","038:42.787-038:44.381","","","[1|5|COM] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|7|DET] [7|5|OBJ] [8|9|JCT 9|5|COMP 10|12|DET 11|12|MOD 12|13|SUBJ 13|9|COMP 14|16|DET 15|16|MOD 16|13|OBJ 17|5|PUNCT]","[co|ah] [pro:per|you] [mod|can~neg|not] [v|find] [det:art|the] [n|bucket] [adv|on v|get det:art|the adj|big n|rake v|get det:art|the adj|big n|rake .]"
"Alex.010512","593","AD2","[get the big rake (.) get the big rake .]","038:44.611-038:45.469","","","[]","[]"
"Alex.010512","594","Mother","[I] [think] [it's (t:t:trail off)]","038:43.788-038:44.400","","","[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|COM 5|2|PUNCT]","[pro:sub|I] [v|think] [pro:per|it~cop|be&3S (mt:trail off)]"
"Alex.010512","595","AD2","[hurry] [up]","038:46.538-038:46.849","","","[1|4|LINK] [2|1|JCT 3|4|SUBJ 4|0|ROOT 5|6|DET 6|9|SUBJ 7|9|JCT 8|9|SUBJ 9|4|COMP 10|9|JCT 11|4|PUNCT]","[v|hurry] [adv|up pro:sub|I v|get&PAST det:art|a n|couple prep|of n|minute-PL v|come adv|on .]"
"Alex.010512","596","AD2","[I got a couple of minutes]","038:46.927-038:47.548","","","[]","[]"
"Alex.010512","597","AD2","[c'mon (replacement:replacement:come on) .]","038:47.592-038:48.151","","","[]","[]"
