,Unnamed: 0,Unnamed: 0.1,Session:Name,Record #,Speaker,Orthography,Segment,Notes,situation,Session,start_time,end_time,start_seconds,end_seconds,pre_utt,pre_speaker,post_starttime,post_utt,post_speaker,pause_after,SpeechAct,ClauseType,comments
763,763,763,Alex.030516,764,Mother,don't let go .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,xxx .,Alex,0.0,xxx .,Alex,0.0,,,
764,764,764,Alex.030516,765,Alex,xxx .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,don't let go .,Mother,1402.956,"xxx &-um &-um do this , &-um again ?",Alex,1402.956,,,
765,765,765,Alex.030516,766,Alex,"xxx &-um &-um do this , &-um again ?",023:22.956-023:25.883,,[],Alex030516,023:22.956,023:25.883,1402.956,1405.8829999999996,xxx .,Alex,1405.8829999999996,oh well you have_to sit on it and I'll push you .,Mother,0.0,,,
766,766,766,Alex.030516,767,Mother,oh well you have_to sit on it and I'll push you .,023:25.883-023:27.742,,[],Alex030516,023:25.883,023:27.742,1405.8829999999996,1407.7420000000004,"xxx &-um &-um do this , &-um again ?",Alex,1407.7420000000004,is you (t:t:self interruption question),Mother,0.0,,,
767,767,767,Alex.030516,768,Mother,is you (t:t:self interruption question),023:27.742-023:29.920,,[],Alex030516,023:27.742,023:29.920,1407.7420000000004,1409.92,oh well you have_to sit on it and I'll push you .,Mother,0.0,is your bum on there okay ?,Mother,-1409.92,,,
768,768,768,Alex.030516,769,Mother,is your bum on there okay ?,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,is you (t:t:self interruption question),Mother,1409.92,xxx .,Alex,1409.92,,,
769,769,769,Alex.030516,770,Alex,xxx .,023:29.920-023:31.616,,[],Alex030516,023:29.920,023:31.616,1409.92,1411.616,is your bum on there okay ?,Mother,0.0,are you ready ?,Mother,-1411.616,,,
770,770,770,Alex.030516,771,Mother,are you ready ?,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,xxx .,Alex,1411.6170000000004,ready .,Alex,1411.6170000000004,,,
771,771,771,Alex.030516,772,Alex,ready .,023:31.617-023:32.580,,[],Alex030516,023:31.617,023:32.580,1411.6170000000004,1412.58,are you ready ?,Mother,0.0,hold on .,Mother,-1412.58,,,
772,772,772,Alex.030516,773,Mother,hold on .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,ready .,Alex,1412.58,yyy .,Alex,1412.58,,,
773,773,773,Alex.030516,774,Alex,yyy .,023:32.580-023:33.790,,[],Alex030516,023:32.580,023:33.790,1412.58,1413.79,hold on .,Mother,1413.7910000000004,&-um I wanna catch the trees .,Alex,0.0009999999999763534,,,
774,774,774,Alex.030516,775,Alex,&-um I wanna catch the trees .,023:33.791-023:35.545,,[],Alex030516,023:33.791,023:35.545,1413.7910000000004,1415.545,yyy .,Alex,1415.545,"well you have_to sit , hold on .",Mother,0.0,,,
775,775,775,Alex.030516,776,Mother,"well you have_to sit , hold on .",023:35.545-023:39.008,,[],Alex030516,023:35.545,023:39.008,1415.545,1419.0079999999996,&-um I wanna catch the trees .,Alex,0.0,you can't not hold on .,Mother,-1419.0079999999996,,,
776,776,776,Alex.030516,777,Mother,you can't not hold on .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,"well you have_to sit , hold on .",Mother,0.0,are you sitting ?,Mother,0.0,,,
777,777,777,Alex.030516,778,Mother,are you sitting ?,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,you can't not hold on .,Mother,1419.009,xxx I am sitting .,Alex,1419.009,,,
